customer_id,name,email,location,join_date
1,Ariel Mcneil,johnsondanny@gmail.com,South,16-06-2021
2,Jonathan Esparza,manueljackson@martinez-white.com,West,17-06-2020
3,Mr. James Gordon DDS,aaron09@hotmail.com,North,18-07-2023
4,Heather Kelly,ocrawford@gmail.com,South,16-01-2023
5,Michael Mendoza,morganerika@hotmail.com,South,03-09-2021
6,Matthew Diaz,velasquezbrett@gilmore-bell.biz,North,14-01-2020
7,Fernando Williams,robinnelson@hotmail.com,West,21-11-2021
8,Tracy Pacheco,stephen94@porter-thompson.net,South,29-05-2021
9,James Brown,msmith@brown.com,North,09-08-2023
10,Mrs. Patricia Flores,edwardsluis@yahoo.com,West,16-05-2020
11,Deborah Davis,juliabennett@rose.net,South,02-02-2022
12,Nicole Cherry,smithcharles@montoya.com,South,01-12-2021
13,Robert Solomon,pshaw@yahoo.com,West,12-07-2020
14,Jennifer Hendrix,angela48@jones-king.net,East,17-03-2023
15,Christopher Cain,casey98@roberts.biz,Central,20-05-2021
16,Mark Roberts,mjackson@hotmail.com,East,04-02-2022
17,Holly Hernandez,bridget43@yahoo.com,West,04-09-2023
18,Tanya Johnson,hcosta@gmail.com,South,16-03-2022
19,Jonathan Manning,ashley83@hotmail.com,Central,23-12-2020
20,Jade Bender,rachel99@trujillo-hughes.biz,West,28-06-2023
21,Maria Cantu,frederickanthony@shaw.com,North,03-10-2021
22,Edward Brooks,leekatrina@mills-kent.net,Central,22-11-2020
23,Edward Brown,james55@perry.com,North,29-12-2022
24,Debbie Bowen,adkinspenny@hotmail.com,East,25-04-2022
25,Michael Day,kimberly97@arias-bradford.net,Central,10-07-2020
26,Joseph Donaldson,mauricebutler@owen.com,East,21-11-2020
27,Michael Jones,brownchad@yahoo.com,South,29-06-2020
28,Charlene Davis,rodriguezdonald@riddle-wade.com,East,12-06-2020
29,Dwayne Hansen,esmith@gmail.com,Central,11-02-2022
30,Dustin Thompson,joshua41@yahoo.com,East,28-05-2020
31,Michael Lee,nramirez@hotmail.com,Central,24-01-2020
32,Elaine Carter,kimberlywalker@strickland.net,West,28-02-2022
33,Adam Santana,shannon09@hotmail.com,West,22-01-2021
34,Danielle Berry,lisaklein@klein.biz,Central,20-06-2020
35,Kenneth Miller,cookrachel@hotmail.com,East,08-08-2021
36,Jonathan Johnson,martinezjasmine@allen.org,East,17-03-2022
37,Ryan Williams,chelseastanton@navarro-robinson.biz,Central,03-11-2021
38,Katherine Martinez,kdavidson@gmail.com,North,20-09-2022
39,Dwayne Gonzalez,hernandezedgar@gmail.com,South,29-10-2023
40,Jennifer Simmons,holly78@ryan.biz,South,27-05-2023
41,Christopher Maxwell,christopher97@hotmail.com,East,01-10-2021
42,Jacob Pham,kimberly55@gmail.com,South,25-08-2020
43,Christopher Anderson,jbecker@yahoo.com,East,30-03-2020
44,Christine Jones,katelynherrera@powers.com,West,15-09-2023
45,Valerie Boyd,bvaldez@yahoo.com,North,12-02-2022
46,Nicole Dean,stoutdylan@gmail.com,Central,11-07-2020
47,Hannah Wade,amy55@gmail.com,North,16-04-2022
48,Mrs. Megan Russell,jonathanfarrell@hotmail.com,South,08-03-2021
49,Joseph Small,michaelhammond@welch-smith.com,East,20-07-2021
50,Jake Green,james98@short.com,South,14-07-2021
51,Joseph Anderson,kmontgomery@preston-flores.com,South,19-11-2022
52,Dylan Chang,jamie72@yahoo.com,West,03-12-2021
